# Mr. Estimator v0.1.8
# ------------------------------------------------------------------------
# legendlabel: Fit Exponential
# ------------------------------------------------------------------------
# m = 0.9780831573884338
# tau = 45.12516343632611 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 |  -58.692 | 0.93206005
#  0.250 |    9.770 | 0.96099479
#  0.400 |   19.240 | 0.97130316
#  0.500 |   27.233 | 0.97808316
#  0.600 |   33.786 | 0.98577975
#  0.750 |   53.463 | 0.99763899
#  0.875 |  109.450 | 1.01016278
# 
# fitrange: 1 <= k <= 9 [1 bp steps]
# function: $|A| e^{-k/\tau}$
# 	tau [bp steps]   = 45.12516343632611
# 	A                = 0.44998449163422577
# 
# ------------------------------------------------------------------------
# legendlabel: Fit Exp+Offset
# ------------------------------------------------------------------------
# m = 0.9999861248122366
# tau = 72070.59676882905 [bp steps]
# quantiles | tau [bp steps] | m:
#  0.125 | -23785.670 | 0.99860586
#  0.250 |  334.744 | 0.99996875
#  0.400 | 31997.560 | 0.99998129
#  0.500 | 44537.841 | 0.99998336
#  0.600 | 57218.630 | 0.99998815
#  0.750 | 84375.008 | 0.99999201
#  0.875 | 115258.198 | 1.00000340
# 
# fitrange: 1 <= k <= 9 [1 bp steps]
# function: $|A| e^{-k/\tau} + O$
# 	tau [bp steps]   = 72070.59676882905
# 	A                = 682.4417055610692
# 	O                = -681.9909540945829
# 
# ------------------------------------------------------------------------
# Data
# ------------------------------------------------------------------------
# 1_steps[bp_steps]	2_coefficients	3_stderrs
1.000000000000000000e+00	4.123620597935414023e-01	1.705144215014428588e-01
2.000000000000000000e+00	4.222181314004334607e-01	1.954336929588142979e-01
3.000000000000000000e+00	3.831083825226774819e-01	1.683518987134199341e-01
4.000000000000000000e+00	4.608554329883709499e-01	2.091646859804789094e-01
5.000000000000000000e+00	4.182736413229251049e-01	2.151414767865510447e-01
6.000000000000000000e+00	4.999698845751971432e-01	1.755600201144846828e-01
7.000000000000000000e+00	3.883543082734200458e-01	1.506543749715184843e-01
8.000000000000000000e+00	2.837499877447823282e-01	2.164339067884201995e-01
9.000000000000000000e+00	3.617818962746131017e-01	2.196372906152411209e-01
